
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1942"	"14.318"	"52.682"	"16.818"	"23.972"	"11.207"	"129.714"	"525.392"	"456.509"	"226.325"	"11.292"	"0.604"	"0.305"
"1943"	"28.226"	"3.722"	"1.04"	"25.281"	"37.331"	"117.687"	"420.126"	"511.429"	"219.467"	"62.932"	"1.16"	"0"
"1944"	"14.026"	"45.863"	"100.697"	"14.666"	"16.68"	"97.82"	"549.835"	"500.686"	"210.199"	"79.766"	"1.483"	"0"
"1945"	"19.117"	"9.744"	"0.199"	"18.004"	"15.949"	"192.887"	"418.546"	"260.813"	"347.974"	"63.967"	"5.446"	"3.445"
"1946"	"0"	"11.219"	"13.711"	"27.529"	"26.286"	"233.44"	"506.95"	"463.382"	"252.471"	"53.607"	"9.157"	"0.984"
"1947"	"19.535"	"8.701"	"36.723"	"6.872"	"4.527"	"128.644"	"518.71"	"361.544"	"340.943"	"45.708"	"4.323"	"6.625"
"1948"	"6.105"	"10.794"	"21.276"	"8.64"	"13.489"	"207.332"	"305.592"	"321.696"	"309.334"	"34.932"	"34.277"	"0.851"
"1949"	"0"	"9.987"	"8.903"	"7.58"	"41.358"	"155.722"	"276.232"	"513.825"	"215.418"	"143.687"	"0"	"0"
"1950"	"4.52"	"30.195"	"47.216"	"3.973"	"5.204"	"128.935"	"428.994"	"378.157"	"107.13"	"8.772"	"11.549"	"5.609"
"1951"	"3.395"	"2.139"	"64.63"	"19.622"	"24.1"	"132.478"	"438.611"	"338.252"	"170.033"	"54.234"	"0.493"	"0"
"1952"	"0.338"	"11.117"	"25.646"	"12.035"	"14.204"	"149.478"	"343.43"	"298.393"	"279.066"	"34.273"	"0"	"9.523"
"1953"	"18.946"	"0.115"	"0.199"	"14.529"	"4.827"	"135.348"	"332.698"	"524.028"	"225.399"	"34.472"	"0.981"	"0"
"1954"	"3.585"	"6.734"	"11.52"	"8.048"	"11.238"	"114.493"	"354.926"	"401.61"	"335.238"	"31.701"	"0"	"0.398"
"1955"	"9.713"	"4.803"	"30.461"	"9.906"	"4.904"	"95.3"	"344.648"	"422.715"	"211.149"	"113.471"	"0.954"	"0"
"1956"	"7.546"	"7.877"	"3.672"	"0.624"	"58.546"	"239.091"	"493.918"	"477.359"	"262.027"	"34.929"	"9.978"	"5.004"
"1957"	"4.045"	"2.091"	"37.287"	"21.3"	"11.113"	"154.125"	"531.101"	"386.771"	"118.206"	"34.998"	"0"	"0.765"
"1958"	"9.279"	"9.462"	"24.518"	"18.483"	"14.845"	"66.93"	"483.491"	"343.249"	"283.189"	"106.152"	"7.272"	"0"
"1959"	"19.504"	"4.253"	"0.199"	"9.077"	"35.223"	"190.383"	"370.256"	"369.828"	"239.901"	"82.379"	"0"	"1.756"
"1960"	"2.948"	"0.115"	"33.374"	"15.809"	"29.316"	"180.629"	"404.867"	"397.462"	"157.64"	"67.627"	"0"	"0"
"1961"	"13.372"	"44.455"	"28.291"	"7.567"	"23.29"	"194.151"	"378.219"	"401.796"	"267.925"	"92.052"	"6.835"	"7.991"
"1962"	"7.512"	"25.853"	"10.215"	"16.027"	"12.53"	"146.493"	"348.747"	"363.127"	"236.387"	"11.343"	"3.479"	"22.83"
"1963"	"4.542"	"5.14"	"27.82"	"18.801"	"37.255"	"111.137"	"307.309"	"448.694"	"236.622"	"67.135"	"1.105"	"0"
"1964"	"0.076"	"37.326"	"8.989"	"26.53"	"13.393"	"165.18"	"313.156"	"532.113"	"210.086"	"57.492"	"9.098"	"0"
