
"Year"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"1941"	"27.751"	"29.949"	"35.842"	"40.702"	"42.077"	"36.064"	"31.217"	"30.63"	"31.511"	"30.99"	"27.895"	"27.142"
"1942"	"26.696"	"29.576"	"34.93"	"38.78"	"42.416"	"38.581"	"30.226"	"30.038"	"30.899"	"30.676"	"28.698"	"26.869"
"1943"	"28.494"	"27.975"	"34.423"	"37.876"	"41.212"	"36.201"	"30.725"	"29.638"	"31.265"	"31.493"	"28.623"	"25.377"
"1944"	"26.868"	"29.151"	"33.065"	"37.068"	"42"	"37.429"	"30.375"	"29.749"	"31.201"	"30.687"	"28.214"	"27.502"
"1945"	"26.128"	"28.723"	"34.846"	"37.423"	"41.497"	"37.451"	"30.733"	"30.959"	"30.541"	"30.233"	"27.463"	"24.729"
"1946"	"25.709"	"29.521"	"35.063"	"37.828"	"41.282"	"35.299"	"30.429"	"29.814"	"31.193"	"31.861"	"30.086"	"28.755"
"1947"	"27.73"	"29.154"	"35.365"	"40.096"	"42.435"	"38.074"	"30.663"	"30.727"	"30.95"	"30.787"	"28.755"	"26.989"
"1948"	"28.005"	"30.082"	"34.177"	"39.822"	"42.735"	"38.133"	"31.231"	"30.241"	"31.028"	"31.868"	"30.407"	"25.513"
"1949"	"26.939"	"29.263"	"35.29"	"39.315"	"41.22"	"37.02"	"31.471"	"30.261"	"31.17"	"31.766"	"28.322"	"25.538"
"1950"	"27.339"	"29.425"	"33.958"	"39.028"	"42.399"	"36.446"	"30.375"	"30.407"	"31.004"	"30.684"	"27.841"	"26.248"
"1951"	"25.652"	"30.125"	"34.99"	"38.008"	"40.74"	"37.38"	"31.571"	"30.152"	"31.958"	"33.007"	"29.575"	"26.74"
"1952"	"27.373"	"31.717"	"34.32"	"39.733"	"42.588"	"38.032"	"31.64"	"30.241"	"31.303"	"31.692"	"28.25"	"28.177"
"1953"	"26.742"	"30.938"	"36.587"	"39.772"	"43.368"	"38.664"	"30.714"	"30.088"	"31.824"	"31.43"	"28.434"	"26.923"
"1954"	"26.409"	"31.414"	"35.419"	"40.185"	"42.705"	"37.277"	"31.441"	"30.458"	"30.921"	"30.165"	"27.775"	"27.004"
"1955"	"27.881"	"31.02"	"36.57"	"38.433"	"41.358"	"37.823"	"30.644"	"30.362"	"31.166"	"31.311"	"27.669"	"26.522"
"1956"	"27.819"	"29.535"	"36.333"	"40.371"	"41.742"	"34.486"	"30.341"	"29.94"	"30.47"	"30.368"	"28.378"	"27.623"
"1957"	"28.15"	"29.298"	"33.819"	"38.825"	"41.772"	"38.042"	"30.748"	"30.537"	"31.307"	"32.239"	"30.209"	"28.216"
"1958"	"28.053"	"30.726"	"36.175"	"40.469"	"41.846"	"39.967"	"31.065"	"30.774"	"31.094"	"31.545"	"29.957"	"27.408"
"1959"	"27.645"	"29.902"	"35.603"	"39.396"	"42.299"	"37.273"	"30.728"	"29.729"	"30.562"	"31.402"	"28.874"	"26.581"
"1960"	"27.105"	"30.755"	"34.217"	"38.897"	"41.669"	"37.516"	"30.745"	"29.862"	"31.299"	"31.145"	"28.257"	"28.267"
"1961"	"27.527"	"28.457"	"36.147"	"39.419"	"41.787"	"35.723"	"30.322"	"30.099"	"30.188"	"31.685"	"27.918"	"25.068"
"1962"	"25.118"	"29.448"	"34.562"	"38.802"	"40.834"	"36.471"	"31.222"	"30.1"	"30.97"	"30.636"	"28.909"	"27.105"
"1963"	"26.001"	"30.62"	"34.474"	"38.068"	"40.527"	"36.329"	"30.776"	"30.159"	"31.082"	"31.484"	"29.627"	"26.899"
"1964"	"27.647"	"29.864"	"35.918"	"39.901"	"41.603"	"36.658"	"29.988"	"29.752"	"31.261"	"31.388"	"28.493"	"27.116"
"1965"	"27.204"	"30.101"	"34.632"	"37.782"	"41.018"	"38.309"	"31.276"	"30.93"	"31.228"	"31.841"	"29.486"	"27.094"
"1966"	"26.792"	"31.635"	"35.605"	"40.339"	"42.46"	"37.773"	"32.956"	"30.537"	"31.601"	"32.357"	"31.379"	"26.904"
"1967"	"27.465"	"31.688"	"33.804"	"38.83"	"42.118"	"38.701"	"31.884"	"29.568"	"30.865"	"30.875"	"28.707"	"28.566"
"1968"	"26.848"	"29.694"	"33.845"	"37.591"	"41.179"	"36.812"	"30.992"	"29.961"	"31.68"	"31.077"	"29.157"	"26.789"
"1969"	"27.547"	"32.255"	"37.052"	"40.493"	"41.313"	"37.45"	"30.856"	"29.826"	"30.536"	"32.158"	"30.614"	"27.126"
"1970"	"27.66"	"31.021"	"34.82"	"39.599"	"41.923"	"34.901"	"30.636"	"29.886"	"30.662"	"31.302"	"27.795"	"25.677"
"1971"	"26.704"	"29.818"	"34.468"	"37.872"	"38.068"	"33.761"	"29.848"	"29.484"	"31.63"	"31.702"	"28.158"	"25.355"
"1972"	"27.766"	"29.094"	"37.212"	"39.535"	"42.834"	"40.319"	"32.994"	"30.718"	"31.968"	"31.667"	"30.338"	"29.327"
"1973"	"28.922"	"31.78"	"36.443"	"42.104"	"42.84"	"38.461"	"31.593"	"31.226"	"32.079"	"30.805"	"28.621"	"26.608"
"1974"	"27.5"	"30.283"	"35.73"	"40.25"	"42.36"	"38.152"	"31.659"	"32.255"	"33.363"	"31.98"	"28.871"	"27.203"
"1975"	"26.407"	"29.689"	"33.767"	"40.86"	"43.47"	"37.648"	"30.74"	"30.7"	"30.463"	"31.534"	"27.041"	"25.167"
"1976"	"25.705"	"30.45"	"35.249"	"38.475"	"40.999"	"37.416"	"30.725"	"29.985"	"30.879"	"32.532"	"32.564"	"28.448"
"1977"	"27.042"	"31.2"	"36.715"	"38.656"	"38.726"	"36.789"	"30.756"	"29.999"	"31.232"	"31.656"	"30.752"	"25.876"
"1978"	"25.679"	"29.068"	"33.434"	"38.252"	"43.104"	"36.062"	"30.277"	"29.136"	"30.685"	"31.342"	"30.331"	"25.91"
"1979"	"28.001"	"27.76"	"34.737"	"38.328"	"41.166"	"37.8"	"31.353"	"30.485"	"30.387"	"32.657"	"31.613"	"26.768"
"1980"	"28.264"	"31.018"	"34.902"	"39.834"	"42.415"	"33.885"	"29.554"	"29.837"	"30.477"	"31.259"	"30.411"	"27.204"
"1981"	"25.705"	"30.962"	"33.393"	"37.264"	"39.804"	"37.377"	"30.515"	"30.255"	"31.002"	"32.649"	"29.824"	"26.074"
"1982"	"28.563"	"29.653"	"33.458"	"39.229"	"40.789"	"37.119"	"33.029"	"29.844"	"32.699"	"32.05"	"29.816"	"28.933"
"1983"	"27.29"	"29.161"	"34.804"	"38.596"	"40.789"	"38.667"	"32.459"	"30.595"	"31.127"	"30.263"	"27.755"	"26.783"
"1984"	"26.815"	"28.327"	"35.894"	"39.404"	"42.656"	"35.741"	"30.991"	"29.911"	"30.84"	"32.278"	"28.795"	"27.775"
"1985"	"27.609"	"30.065"	"36.467"	"40.167"	"41.459"	"37.597"	"29.779"	"29.572"	"31.597"	"30.51"	"29.559"	"28.147"
"1986"	"26.764"	"29.473"	"33.946"	"39.344"	"40.436"	"37"	"30.434"	"30.274"	"31.549"	"30.859"	"29.645"	"26.621"
"1987"	"26.451"	"29.818"	"34.432"	"39.467"	"39.631"	"38.238"	"30.983"	"30.261"	"31.585"	"31.537"	"28.653"	"26.485"
"1988"	"27.126"	"30.527"	"34.316"	"38.676"	"42.181"	"35.743"	"30.502"	"31.083"	"32.108"	"31.412"	"29.464"	"27.871"
"1989"	"26.67"	"31.224"	"34.336"	"40.27"	"42.697"	"35.929"	"31.832"	"30.552"	"31.373"	"31.853"	"30.416"	"27.12"
"1990"	"29.319"	"30.142"	"33.732"	"38.714"	"38.57"	"35.314"	"30.429"	"30.606"	"30.791"	"30.946"	"29.147"	"27.29"
"1991"	"27.08"	"31.97"	"35.573"	"38.776"	"42.412"	"36.155"	"31.694"	"30.002"	"32.105"	"31.474"	"28.483"	"26.744"
"1992"	"26.637"	"29.293"	"36.077"	"39.506"	"41.133"	"37.26"	"32.375"	"30.398"	"31.352"	"32.299"	"30.488"	"26.884"
"1993"	"28.1"	"30.509"	"34.511"	"39.41"	"42.774"	"37.863"	"31.882"	"30.771"	"31.359"	"32.491"	"28.953"	"26.475"
"1994"	"28.542"	"30.04"	"36.514"	"38.54"	"42.048"	"36.387"	"30.266"	"29.775"	"31.207"	"32.087"	"29.753"	"27.042"
"1995"	"26.001"	"30.11"	"34.139"	"38.934"	"39.723"	"39.299"	"31.32"	"30.683"	"31.463"	"31.799"	"29.603"	"28.18"
"1996"	"28.726"	"29.67"	"35.803"	"38.285"	"42.516"	"37.223"	"31.34"	"29.804"	"32.161"	"31.499"	"29.761"	"26.491"
"1997"	"25.868"	"28.844"	"34.751"	"36.887"	"40.699"	"38.406"	"31.145"	"30.084"	"31.348"	"32.091"	"30.869"	"28.156"
"1998"	"27.806"	"29.765"	"33.088"	"38.066"	"40.921"	"38.825"	"31.155"	"30.79"	"31.639"	"33.088"	"29.507"	"26.857"
"1999"	"25.423"	"30.834"	"35.432"	"40.897"	"40.842"	"36.298"	"31.045"	"29.852"	"30.482"	"32.496"	"29.89"	"26.605"
"2000"	"27.771"	"29.015"	"34.031"	"40.523"	"40.914"	"35.221"	"31.143"	"30.779"	"30.927"	"33.039"	"30.801"	"26.976"
"2001"	"26.879"	"30.344"	"35.354"	"38.193"	"41.817"	"34.385"	"30.093"	"30.458"	"32.158"	"32.61"	"30.83"	"28.085"
"2002"	"27.109"	"30.875"	"35.819"	"39.642"	"42.853"	"37.02"	"32.261"	"30.029"	"31.343"	"32.064"	"29.984"	"28.727"
